clubLabel,countryLabel,leagueLabel,venueLabel,coordinates,website
US Orléans,France,Ligue 2,Stade de la Source,Point(1.94169 47.84069),https://orleansloiretfoot.com/
Havnar Bóltfelag,Faroe Islands,Faroe Islands Premier League,Gundadalur,Point(-6.7811394 62.0193487),http://www.hb.fo/
Excelsior Rotterdam,Netherlands,Eredivisie,Stadion Woudestein,Point(4.520556 51.916944),https://sbvexcelsior.nl/
F.C. Paços de Ferreira,Portugal,پڕێمەر لیگ,Estádio da Mata Real,Point(-8.385581 41.271353),http://www.fcpf.pt/
Sivasspor,Turkey,Turkish Süper Lig,Sivas 4 Eylül Stadium,Point(36.984065 39.728612),http://sivasspor.org.tr/
A.S.D. Olimpia Colligiana,Italy,Serie D,Stadio Gino Manni,Point(11.140277777 43.421944444),https://www.colligianacalcio.it/
Avaí Futebol Clube,Brazil,Campeonato Brasileiro Série B,Estádio da Ressacada,Point(-48.531667 -27.666389),http://www.avai.com.br/novo/
PFC Beroe Stara Zagora,Bulgaria,First Professional Football League,Beroe Stadium,Point(25.615278 42.432778),http://www.beroe.bg/
Canto do Rio Foot-Ball Club,Brazil,Campeonato Carioca (lower levels),Estádio Caio Martins,Point(-43.10583333 -22.90055556),http://cantodoriofc.com/
Sociedade Esportiva do Gama,Brazil,Campeonato Brasiliense,Bezerrão,Point(-48.062222 -16.0125),http://www.segama.com.br/
Olimpia Grudziądz,Poland,I liga,City Stadium Grudziądz,Point(18.75944444 53.48805556),https://www.gksolimpia.com/
Platinum Stars F.C.,South Africa,Premier Soccer League,Royal Bafokeng Stadium,Point(27.160833333 -25.578611111),http://www.platinumstars.com
Platinum Stars F.C.,South Africa,South African Premier Division,Royal Bafokeng Stadium,Point(27.160833333 -25.578611111),http://www.platinumstars.com
Alta IF,Norway,Norwegian Second Division,Finnmarkshallen,Point(23.2955 69.9746),http://www.altaif.no/
S.V. Zulte Waregem,Belgium,Belgian First Division A,Regenboogstadion,Point(3.428889 50.883056),https://www.essevee.be/
HNŠK Moslavina,Croatia,Četvrta HNL,Gradski stadion,Point(16.7825 45.487778),http://www.nk-moslavina.hr/
FK Mogren,Montenegro,Montenegrin First League,Stadion Lugovi,Point(18.8507 42.2863),http://www.fkmogren.com/
Breiðablik UBK,Iceland,Besta deild karla,Kópavogsvöllur,Point(-21.896667 64.104167),https://breidablik.is/
Ajman Club,United Arab Emirates,UAE Pro League,Ajman Stadium,Point(55.450546 25.392215),http://www.ajmanclub.ae/
Ermis Aradippou FC,Cyprus,Cypriot Second Division,Ammochostos Stadium,Point(33.613207 34.929818),http://ermisfc.com.cy/
Kuopion Palloseura,Finland,Veikkausliiga,Kuopio Football Stadium,Point(27.670833 62.884444),http://www.kups.fi
FK Zeta,Montenegro,Montenegrin Second League,Stadion Trešnjica,Point(19.240556 42.328611),http://www.fkzeta.com
Albirex Niigata,Japan,J1 League,Denka Big Swan Stadium,Point(139.059166666 37.8825),https://www.albirex.co.jp/
Africa Sports d'Abidjan,Ivory Coast,Ligue 1 (Ivory Coast),Felix Houphouet Boigny Stadium,Point(-4.018417 5.32825),http://www.africasports.ci/
African Stars F.C.,Namibia,Namibia Premier League,Sam Nujoma Stadium,Point(17.090975 -22.60763611),http://www.africanstarsfc.com/
NK Domžale,Slovenia,Slovenian PrvaLiga,Domžale Sports Park,Point(14.602343 46.136967),http://www.nkdomzale.si/
Oita Trinita,Japan,2019 J1 League,Ōita Stadium,Point(131.6575 33.200556),http://www.oita-trinita.co.jp/
Omiya Ardija,Japan,J1 League,NACK5 Stadium Omiya,Point(139.633377 35.916303),https://www.ardija.co.jp/
SK Sigma Olomouc,Czech Republic,Czech First League,Andrův stadion,Point(17.248333 49.6),http://www.sigmafotbal.cz/
Canterbury United,New Zealand,New Zealand Football Championship,English Park,Point(172.636 -43.5092),http://www.canterburyunited.co.nz/
CD Travadores,Cape Verde,Campeonato Nacional de Cabo Verde,Estádio da Várzea,Point(-23.512222 14.916111),https://cdtravadores.wixsite.com/travadores
Şanlıurfaspor,Turkey,TFF First League,Şanlıurfa GAP Stadium,Point(38.8068 37.1478),http://www.sanliurfaspor.org
Club Deportivo Quevedo,Ecuador,Ecuador Serie A,Estadio 7 de Octubre,Point(-79.467863 -1.035628),http://www.deportivoquevedo.co.cc/
FC Fredericia,Denmark,Danish 1st Division,Fredericia New Stadium,Point(9.7286 55.57825),http://www.fcfredericia.dk
FC Metalurh Donetsk,Ukraine,Premier League,Metalurh Stadium,Point(37.798139 47.973222),http://metallurg.donetsk.ua/
Gimnástica de Torrelavega,Spain,Segunda División B,Estadio El Malecón,Point(-4.06389 43.3506),http://www.gimnasticadetorrelavega.es/
Esbjerg fB,Denmark,Danish 1st Division,Blue Water Arena,Point(8.439444 55.481944),https://www.efb.dk/
SC Steinfort,Luxembourg,Luxembourg Division of Honour,Stade Demy Steichen,Point(5.91766 49.6647),http://www.scsteinfort.lu
The New Saints F.C.,United Kingdom,Welsh Premier League,Park Hall,Point(-3.02631 52.8759),https://www.tnsfc.co.uk/
FK Šiauliai,Lithuania,A Lyga,Savivaldybė Stadium,Point(23.29555556 55.93666667),http://www.fcsiauliai.lt
Dunfermline Athletic F.C.,United Kingdom,Scottish Football League First Division,East End Park,Point(-3.441906 56.075308),http://www.dafc.co.uk/
Dunfermline Athletic F.C.,United Kingdom,Scottish Football League,East End Park,Point(-3.441906 56.075308),http://www.dafc.co.uk/
Dunfermline Athletic F.C.,United Kingdom,Midland Football League in Scotland,East End Park,Point(-3.441906 56.075308),http://www.dafc.co.uk/
FK ŠKP Inter Dúbravka Bratislava,Slovakia,Majstrovstvá regiónu,Stadium ŠKP Inter Dúbravka,Point(17.0497 48.1758),http://skpdubravka.lumak.net/
FC Zvezda Irkutsk,Russia,Russian First League,Q4265831,Point(104.249 52.2889),http://www.zvezda-fc.ru/
FC Zvezda Irkutsk,Russia,Russian First League,Trud Stadium,Point(104.282 52.2764),http://www.zvezda-fc.ru/
Real Salt Lake,United States of America,Major League Soccer,America First Field,Point(-111.893 40.5829),https://www.rsl.com/
Patriotas Boyacá,Colombia,Categoría Primera A,Estadio La Independencia,Point(-73.353131 5.542233),http://www.patriotasfc.com/
GAIS,Sweden,Superettan,Gamla Ullevi,Point(11.980555555 57.706111111),http://gais.se
Wycombe Wanderers F.C.,United Kingdom,EFL League One,Adams Park,Point(-0.800277777 51.630555555),https://www.wwfc.com/
York City F.C.,United Kingdom,National League,York Community Stadium,Point(-1.052777777 53.984722222),https://www.yorkcityfootballclub.co.uk/
Maccabi Petah Tikva F.C.,Israel,Liga Leumit,HaMoshava Stadium,Point(34.865078 32.104197),http://www.m-pt.co.il
Manchester City F.C.,United Kingdom,Premier League,City of Manchester Stadium,Point(-2.200277777 53.483055555),https://www.mancity.com/
SV Werder Bremen,Germany,Bundesliga,Weserstadion,Point(8.8375 53.066389),https://www.werder.de/
Lech Poznań,Poland,Ekstraklasa,Enea Stadion,Point(16.858056 52.397222),http://www.lechpoznan.pl/index.php
FC Baku,Azerbaijan,Azerbaijan Premier League,Tofiq Bahramov Stadium,Point(49.852417 40.397333),http://www.fcbaku.com
Ghaxaq F.C.,Malta,Maltese Second Division,Ta' Qali National Stadium,Point(14.415372222 35.894863888),http://ghaxaqfc.webs.com
FC Ryukyu,Japan,Japan Football League,Okinawa Athletic Stadium,Point(127.820993 26.308612),http://www.fcryukyu.com
Flamurtari Vlorë,Albania,Albanian First Division,Flamurtari Stadium,Point(19.48898611 40.45592222),http://flamurtari.al/
KF Laçi,Albania,Albanian Superliga,Laçi Stadium,Point(19.711672 41.64248),http://kflaci.com
Orange County SC,United States of America,USL Championship,Championship Soccer Stadium,Point(-117.739335 33.67446),https://www.orangecountysoccer.com/
Persiba Bantul,Indonesia,Indonesian Premier League,Sultan Agung Stadium,Point(110.380388888 -7.87525),http://persiba.net/
Johor Darul Takzim F.C.,Malaysia,Malaysia Super League,Tan Sri Dato Haji Hassan Yunos Stadium,Point(103.751372222 1.497575),http://johorsoutherntigers.com.my/
Johor Darul Takzim F.C.,Malaysia,Malaysia Super League,Sultan Ibrahim Stadium,Point(103.61925 1.481722222),http://johorsoutherntigers.com.my/
Al-Ettifaq FC,Saudi Arabia,Saudi Pro League,Prince Mohamed bin Fahd Stadium,Point(50.1141 26.4272),https://ettifaq.com/
FK Kukësi,Albania,Albanian Superliga,Zeqir Ymeri Stadium,Point(20.7003 42.1422),https://fk-kukesi.al/
Al-Hilal SFC,Saudi Arabia,Saudi Pro League,King Fahd Stadium,Point(46.839236 24.788206),http://www.alhilal.com/
Clube Náutico Capibaribe,Brazil,Campeonato Brasileiro Série A,Estádio dos Aflitos,Point(-34.896667 -8.040556),https://www.nautico-pe.com.br/
KF Skënderbeu Korçë,Albania,Albanian First Division,Skënderbeu Stadium,Point(20.782778 40.625833),https://www.kfskenderbeu.al/
Football Bourg-en-Bresse Péronnas 01,France,Championnat National,Stade Marcel-Verchère,Point(5.2371 46.21002),https://www.fbbp01.fr/
Al-Mina'a SC,Iraq,Iraqi Premier League,Al Mina'a Stadium,Point(47.778155 30.552356),https://web.facebook.com/alminaaclub1931/?fref=pb&hc_location=profile_browser&_rdc=1&_rdr
S.C. Braga,Portugal,پڕێمەر لیگ,Estádio Municipal de Braga,Point(-8.4308 41.5624),https://scbraga.pt/
Sporting CP,Portugal,پڕێمەر لیگ,Estádio José Alvalade,Point(-9.160783333 38.761194444),https://www.sporting.pt/
Sporting CP,Portugal,پڕێمەر لیگ,Estádio José Alvalade (1956),Point(-9.1586173 38.7628177),https://www.sporting.pt/
Mdina Knights F.C.,Malta,Maltese Third Division,Ta' Qali National Stadium,Point(14.415372222 35.894863888),http://www.mdinaknightsfc.com/
Luqa St. Andrew's F.C.,Malta,Maltese Second Division,Ta' Qali National Stadium,Point(14.415372222 35.894863888),http://www.luqasafc.com/
Zhejiang Professional F.C.,People's Republic of China,Chinese Super League,Yellow Dragon Sports Center,Point(120.129 30.2683),https://www.zhejiangfc1998.com/
Senglea Athletic F.C.,Malta,Maltese First Division,Ta' Qali National Stadium,Point(14.415372222 35.894863888),http://www.sengleafootball.webs.com
S.C. Internacional,Brazil,Campeonato Brasileiro Série A,Estádio Beira-Rio,Point(-51.236086 -30.065614),http://www.internacional.com.br
S.C. Internacional,Brazil,Copa do Brasil,Estádio Beira-Rio,Point(-51.236086 -30.065614),http://www.internacional.com.br
S.C. Internacional,Brazil,Campeonato Gaúcho,Estádio Beira-Rio,Point(-51.236086 -30.065614),http://www.internacional.com.br
Club Atlético Tigre,Argentina,Primera Nacional,Estadio José Dellagiovanna,Point(-58.542219 -34.449333),https://catigre.com.ar/
Unión de Santa Fe,Argentina,Argentine Primera División,Estadio 15 de Abril,Point(-60.715867 -31.631853),https://www.clubaunion.com.ar/
Club Atlético San Martín de San Juan,Argentina,Argentine Primera División,Estadio Ingeniero Hilario Sánchez,Point(-68.530289 -31.519847),http://www.sanmartindesanjuan.wordpress.com
Botafogo F.R.,Brazil,Campeonato Brasileiro Série A,Estádio Nilton Santos,Point(-43.292269 -22.893172),http://www.botafogo.com.br/
Fluminense F.C.,Brazil,Campeonato Brasileiro Série A,Maracanã Stadium,Point(-43.230163888 -22.912166666),https://www.fluminense.com.br/site/
KS Vllaznia Shkodër,Albania,Albanian Superliga,Loro Boriçi Stadium,Point(19.506558 42.070031),http://vllaznia.al/
AFC Ajax,Netherlands,Eredivisie,Johan Cruyff Arena,Point(4.941944444 52.314166666),https://www.ajax.nl/
C.S. Herediano,Costa Rica,Liga promerica,Estadio Eladio Rosabal Cordero,Point(-84.123065 9.99963),https://www.herediano.com/
Persegres Gresik United,Indonesia,Liga 1,Gelora Joko Samudro Stadium,Point(112.65075 -7.185388888),http://www.persegresfc.com
Central F.C.,Trinidad and Tobago,TT Premier Football League,Ato Boldon Stadium,Point(-61.41722222 10.42472222),http://www.centraltt.com
Impuls FC Dilijan,Armenia,Armenian Premier League,Dilijan City Stadium,Point(44.856388888 40.736944444),http://fcimpulse.com/
Club Blooming,Bolivia,Primera División de Bolivia,Estadio Ramón Tahuichi Aguilera,Point(-63.183873 -17.796067),https://www.clubblooming.bo
FK Spartak Subotica,Serbia,Serbian SuperLiga,Subotica City Stadium,Point(19.676958 46.081781),https://www.fkspartak.com/
Ipatinga Futebol Clube,Brazil,Campeonato Brasileiro Série C,Arena do Jacaré,Point(-44.222022 -19.478794),http://www.ipatingafc.com.br
VfL Wolfsburg,Germany,Bundesliga,Volkswagen Arena,Point(10.803889 52.431944),https://www.vfl-wolfsburg.de/
VfL Wolfsburg,Germany,Bundesliga,VfL-Stadion am Elsterweg,Point(10.799417 52.425306),https://www.vfl-wolfsburg.de/
Borussia Mönchengladbach,Germany,Bundesliga,Borussia-Park,Point(6.385463888 51.174583333),https://www.borussia.de/
Hertha BSC,Germany,Bundesliga,Berlin Olympic Stadium,Point(13.239444444 52.514722222),https://www.herthabsc.de
Bayer 04 Leverkusen,Germany,Bundesliga,BayArena,Point(7.002205555 51.038255555),https://www.bayer04.de/
1. FC Köln,Germany,Bundesliga,RheinEnergie Stadion,Point(6.875 50.933611),https://fc.de/
1. FSV Mainz 05,Germany,Bundesliga,Mewa Arena,Point(8.224167 49.984167),https://www.mainz05.de/
Arminia Bielefeld,Germany,2. Bundesliga,Bielefelder Alm,Point(8.516944 52.031389),https://www.arminia-bielefeld.de/
Karlsruher SC,Germany,2. Bundesliga,Wildparkstadion,Point(8.413055555 49.02),https://www.ksc.de/
Karlsruher SC,Germany,3. Liga,Wildparkstadion,Point(8.413055555 49.02),https://www.ksc.de/
VfL Bochum,Germany,Bundesliga,Ruhrstadion,Point(7.236489 51.489944),https://www.vfl-bochum.de/
SC Freiburg,Germany,Bundesliga,Dreisamstadion,Point(7.893056 47.988889),https://www.scfreiburg.com/
SC Freiburg,Germany,Bundesliga,Europa-Park-Stadion,Point(7.830006 48.021536),https://www.scfreiburg.com/
FC Energie Cottbus,Germany,Regionalliga Nordost,Stadion der Freundschaft,Point(14.345556 51.751389),http://www.fcenergie.de/
CF Fuenlabrada,Spain,Primera Federación,Estadio Fernando Torres,Point(-3.8260961 40.2917128),https://www.cffuenlabrada.es/
Phoenix Rising FC,United States of America,USL Championship,Scottsdale Stadium,Point(-111.921111 33.488333),https://www.phxrisingfc.com/
Phoenix Rising FC,United States of America,USL Championship,Peoria Sports Complex,Point(-112.2332 33.6319),https://www.phxrisingfc.com/
Phoenix Rising FC,United States of America,USL Championship,Casino Arizona Field,Point(-111.90555556 33.4375),https://www.phxrisingfc.com/
Phoenix Rising FC,United States of America,USL Championship,Phoenix Rising Soccer Stadium,Point(-111.978472222 33.270111111),https://www.phxrisingfc.com/
SpVgg Landshut,Germany,Bayernliga Süd,Q1384007,Point(12.1383 48.5322),http://spvgg-landshut.de
KV Mechelen,Belgium,Belgian First Division A,AFAS Stadion KV Mechelen,Point(4.486389 51.037222),https://www.kvmechelen.be/
Metallurg Bekabad,Uzbekistan,Uzbekistan Super League,Metallurg Bekabad Stadium,Point(69.27919 40.213367),http://metallurg-pfc.uz
Al-Shorta Baghdad,Iraq,Iraqi Premier League,Al-Shaab Stadium,Point(44.435438 33.324906),https://www.alshortasc.com/
Luftëtari Gjirokastër,Albania,Albanian Superliga,Subi Bakiri Stadium,Point(20.1381 40.0812),http://ks-luftetari.weebly.com
Dalkurd FF,Sweden,Superettan,Domnarvsvallen,Point(15.434166666 60.495),http://www.dalkurd.se/
Bontang FC,Indonesia,Indonesian Premier League,Mulawarman Stadium,Point(117.461239 0.143111),http://pspkt.pupukkaltim.com/
Al-Salmiya SC,Kuwait,Kuwaiti Premier League,Thamir Stadium,Point(48.088333333 29.340833333),http://alsalmiyaclub.com/
RC Strasbourg,France,Ligue 1,Stade de la Meinau,Point(7.75738 48.55942),http://www.rcstrasbourgalsace.fr/
CD San José,Bolivia,Primera División de Bolivia,Estadio Jesús Bermúdez,Point(-67.111564 -17.946211),http://www.sanjosefc.com/
C.D. Jorge Wilstermann,Bolivia,Primera División de Bolivia,Estadio Jesús Bermúdez,Point(-67.111564 -17.946211),http://www.wilstermann.com.bo
C.D. Jorge Wilstermann,Bolivia,Primera División de Bolivia,Estadio Félix Capriles,Point(-66.16183 -17.379303),http://www.wilstermann.com.bo
Oriente Petrolero,Bolivia,Primera División de Bolivia,Estadio Ramón Tahuichi Aguilera,Point(-63.183873 -17.796067),https://www.orientepetrolero.com.bo/
Club Aurora,Bolivia,Nacional B 2016-17 (Bolivia),Estadio Félix Capriles,Point(-66.16183 -17.379303),http://www.clubaurora.com.bo
Inter Milan,Italy,Serie A,Giuseppe Meazza Stadium,Point(9.123888888 45.478055555),https://www.inter.it/
Olympique Lyonnais,France,Ligue 1,Parc Olympique Lyonnais,Point(4.982131 45.765224),https://www.ol.fr/
Juventus FC,Italy,Serie A,Allianz Stadium,Point(7.641247 45.109594),https://www.juventus.com/
U.C. Sampdoria,Italy,Serie A,Stadio Luigi Ferraris,Point(8.952428 44.416431),http://www.sampdoria.it/
AC Milan,Italy,Serie A,Giuseppe Meazza Stadium,Point(9.123888888 45.478055555),https://www.acmilan.com/
Atalanta B.C.,Italy,Serie A,Stadio Atleti Azzurri d'Italia,Point(9.680833 45.708889),https://www.atalanta.it/
Bologna F.C. 1909,Italy,Serie A,Stadio Renato Dall'Ara,Point(11.309719 44.49362),https://www.bolognafc.it/
Cagliari Calcio,Italy,Serie B,Unipol Domus,Point(9.1375 39.199722222),https://www.cagliaricalcio.com/
Catania F.C.,Italy,Serie D,Stadio Angelo Massimino,Point(15.071389 37.515833),http://www.calciocatania.it
A.C. ChievoVerona,Italy,Serie B,Stadio Marcantonio Bentegodi,Point(10.968647 45.435356),http://www.chievoverona.it/
ACF Fiorentina,Italy,Serie A,Stadio Artemio Franchi (Florence),Point(11.282258 43.780822),https://www.acffiorentina.com/
Genoa CFC,Italy,Serie B,Stadio Luigi Ferraris,Point(8.952428 44.416431),http://genoacfc.it/
S.S. Lazio,Italy,Serie A,Stadio Olimpico,Point(12.454722222 41.933888888),https://www.sslazio.it/
S.S.C. Napoli,Italy,Serie A,Stadio Diego Armando Maradona,Point(14.193008 40.827967),https://www.sscnapoli.it/
Palermo F.C.,Italy,Serie B,Stadio Renzo Barbera,Point(13.342275 38.152767),https://www.palermofc.com
Parma Calcio 1913,Italy,Serie B,Stadio Ennio Tardini,Point(10.338444444 44.794916666),http://parmacalcio1913.com/
Delfino Pescara 1936,Italy,Serie C,Stadio Adriatico,Point(14.22944444 42.45527778),https://www.pescaracalcio.com/
Watford F.C.,United Kingdom,EFL Championship,Vicarage Road,Point(-0.401606 51.649928),https://www.watfordfc.com/
A.S. Roma,Italy,Serie A,Stadio Olimpico,Point(12.454722222 41.933888888),https://www.asroma.com/
ACR Siena 1904,Italy,Serie C,Stadio Artemio Franchi,Point(11.326111 43.321667),https://www.acnsiena.it/
Torino Football Club,Italy,Serie A,Stadio Olimpico Grande Torino,Point(7.65 45.041667),http://torinofc.it/
Udinese Calcio,Italy,Serie A,Stadio Friuli,Point(13.200136 46.081603),http://www.udinese.it/
VfB Stuttgart,Germany,Bundesliga,MHPArena,Point(9.231944 48.792222),http://www.vfb.de/
Everton F.C.,United Kingdom,Premier League,Goodison Park,Point(-2.966388888 53.438888888),http://www.evertonfc.com/
FC St. Pauli,Germany,2. Bundesliga,Millerntor-Stadion,Point(9.967778 53.554444),https://www.fcstpauli.com/
