clubLabel,countryLabel,leagueLabel,venueLabel,coordinates,website
NK Olimpija Ljubljana,Slovenia,Slovenian PrvaLiga,Stožice Stadium,Point(14.521389 46.081111),https://www.nkolimpija.si/
Tractor S.C.,Iran,Iran Pro League,Yadegar-e Emam Stadium,Point(46.295833 38.026667),https://www.tractor-club.com/
UCAM Murcia CF,Spain,4th Division,Q5847924,Point(-1.19333 37.9217),http://www.ucamdeportes.com/ucamcf/
FC Schalke 04,Germany,Bundesliga,Veltins-Arena,Point(7.067588888 51.554502777),https://schalke04.de/
Marsa FC,Malta,Maltese Third Division,Ta' Qali National Stadium,Point(14.415372222 35.894863888),http://www.marsafc.tk/
Hannover 96,Germany,2. Bundesliga,Niedersachsenstadion,Point(9.731111 52.36),https://www.hannover96.de
KS Dinamo Tirana,Albania,Albanian First Division,Qemal Stafa Stadium,Point(19.824075 41.318314),http://www.dinamo.al/
S.C. Corinthians Paulista,Brazil,Campeonato Brasileiro Série A,Neo Química Arena,Point(-46.474 -23.545555555),https://www.corinthians.com.br/
S.C. Corinthians Paulista,Brazil,Campeonato Paulista de Futebol,Neo Química Arena,Point(-46.474 -23.545555555),https://www.corinthians.com.br/
FC Mordovia Saransk,Russia,Russian First League,Start Stadium,Point(45.192175 54.17583611),http://www.fc-mordovia.ru
FK Pelister,North Macedonia,Macedonian Second Football League,Stadion Tumbe Kafe,Point(21.338889 41.018056),https://fkpelister.mk/
FC Dordoi Bishkek,Kyrgyzstan,Kyrgyzstan League,Spartak Stadium,Point(74.59793889 42.880175),http://www.fc-dordoi.com/
São Paulo FC,Brazil,Campeonato Brasileiro,Estádio do Morumbi,Point(-46.720155555 -23.600125),http://www.saopaulofc.net/
FC Torpedo Kutaisi,Georgia,Erovnuli Liga,Ramaz Shengelia Stadium,Point(42.683086111 42.255141666),https://fctorpedokutaisi.com/
FC Zlín,Czech Republic,Czech First League,Letná Stadion,Point(17.669425 49.231311),https://www.fctrinityzlin.cz/
NK Čelik Zenica,Bosnia and Herzegovina,Premier League of Bosnia and Herzegovina,Bilino Polje Stadium,Point(17.907083 44.20575),https://nkcelik.ba/
FC Petržalka,Slovakia,2. Liga,Stadium FC Petržalka 1898,Point(17.133333333 48.119722222),http://www.fcpetrzalka1898.sk/
Borussia Dortmund,Germany,Bundesliga,Westfalenstadion,Point(7.451667 51.4925),https://www.bvb.de/
FC Emmenbrücke,Switzerland,Swiss 1. Liga,Stadion Gersag,Point(8.283611 47.079722),http://www.fce1921.ch/
FC Shinnik Yaroslavl,Russia,Russian First League,Shinnik Stadium,Point(39.867486 57.628729),http://www.shinnik.com
Antalyaspor,Turkey,Turkish Süper Lig,Akdeniz University Stadium,Point(30.646666666 36.893611111),http://www.antalyaspor.com.tr
FC Chornomorets Odesa,Ukraine,Premier League,Spartak Stadium,Point(30.748444 46.468389),https://chornomorets.football
NK Rudar Velenje,Slovenia,Slovenian Second League,Ob Jezeru City Stadium,Point(15.104184 46.372931),http://nkrudarvelenje.com
FC Koper,Slovenia,Slovenian PrvaLiga,Bonifika Stadium,Point(13.730453 45.542356),http://www.fckoper.si
ND Mura 05,Slovenia,Slovenian PrvaLiga,Fazanerija City Stadium,Point(16.1575 46.668611),http://www.mura05.si/welcome/
NK Triglav Kranj,Slovenia,Slovenian Second League,Stanko Mlakar Stadium,Point(14.364914 46.251731),https://www.nktriglav.si/
Al Ahli Saudi FC,Saudi Arabia,Saudi Pro League,King Abdullah Sports City,Point(39.165096 21.762627),https://www.alahlifc.sa/
ES Tunis,Tunisia,Tunisian Ligue Professionnelle 1,Olympic Stadium of Radès,Point(10.272777777 36.747777777),http://www.est.org.tn/
FK Daugava (2003),Latvia,Latvian Higher League,Daugava Stadium,Point(24.15886111 56.95516667),http://www.daugavariga.com/
Once Caldas,Colombia,Categoría Primera A,Estadio Palogrande,Point(-75.489807 5.056233),http://www.oncecaldas.com.co/
Torquay United F.C.,United Kingdom,National League,Plainmoor,Point(-3.523825 50.476408),https://torquayunited.com/
Accrington Stanley F.C.,United Kingdom,EFL League Two,Crown Ground,Point(-2.370911 53.765356),https://www.accringtonstanley.co.uk/
AFC Wimbledon,United Kingdom,EFL League Two,Plough Lane,Point(-0.186669444 51.431363888),https://www.afcwimbledon.co.uk/
Aldershot Town F.C.,United Kingdom,EFL League Two,Recreation Ground,Point(-0.754789 51.248386),https://www.theshots.co.uk/
Bradford City A.F.C.,United Kingdom,EFL League Two,Valley Parade,Point(-1.759022222 53.804222222),https://www.bradfordcityfc.co.uk/
F.C. Lorient,France,Ligue 1,Stade du Moustoir,Point(-3.36929 47.74869),http://www.fclweb.fr
Bristol Rovers F.C.,United Kingdom,EFL League One,Memorial Stadium,Point(-2.58313 51.4862),https://www.bristolrovers.co.uk/
Burton Albion F.C.,United Kingdom,EFL Championship,Pirelli Stadium,Point(-1.626958 52.821906),https://www.burtonalbionfc.co.uk/
Cheltenham Town F.C.,United Kingdom,EFL League Two,Whaddon Road,Point(-2.060211 51.906158),https://www.ctfc.com/
