,club,country,league,venue,coordinates,website,logoImage
4101,Mumbai City FC,India,Indian Super League,DY Patil Stadium,73.026667 19.041944,http://www.indiansuperleague.com/mumbai-city-fc,
4102,NAPSA Stars F.C.,Zambia,Zambia Super League,Woodlands Stadium,28.3475 -15.4459,http://home.napsastarsfc.com/,
4103,Phoenix FC,United States of America,USL Championship,Sun Devil Soccer Stadium,-111.932 33.425,http://www.phoenixcitysoccer.com/,
4104,Semen Padang FC U-21,Indonesia,Indonesia Super League U-21,Haji Agus Salim Sport Complex,100.358333 -0.929444,http://semenpadangfc.co.id/v1/,
4105,Cesena F.C.,Italy,Serie D,Stadio Dino Manuzzi,12.261944 44.140556,https://calciocesena.com,http://commons.wikimedia.org/wiki/Special:FilePath/Logo%20Cesena%20FC%202018.png
4106,FC SKChF Sevastopol,Russia,Crimean Premier League,Sevastopol Sports Complex,33.542 44.6026,http://fcskchf.com/,
4107,Chennaiyin FC,India,Indian Super League,"Jawaharlal Nehru Stadium, Chennai",80.27166667 13.08555556,https://chennaiyinfc.com/,
4108,CS Marítimo C,Portugal,Campeonato de Portugal,Estádio dos Barreiros,-16.928331 32.645561,http://www.csmaritimo.pt/,
4109,Xerez Deportivo Fútbol Club,Spain,Tercera División,Estadio Municipal de Bosco,-6.120278 36.689167,https://xerezdfc.com/,
4110,FC Domodedovo Moscow,Russia,Russian Second League,Avangard Stadium,69.152074 54.874085,http://fcdomodedovo.ru/,
4111,FK Krupa,Bosnia and Herzegovina,Premier League of Bosnia and Herzegovina,Gradski Stadion,17.15 42.6833,https://www.fkkrupa.net/,
4112,Orense,Spain,Tercera División,Estadio Francisco Artés Carrasco,-1.735122 37.638817,http://www.lorcadeportiva.es/,
4113,NK Maribor B,Slovenia,Slovenian Third League,Ljudski vrt,15.640556 46.5625,http://www.nkmaribor.com,
4114,FC Solyaris Moscow,Russia,Russian Second League,Spartakovets Stadium,37.7131 55.8097,http://www.fc-solyaris.ru/,
4115,FC Voluntari,Romania,Romanian SuperLiga,Stadionul Anghel Iordănescu,26.14555556 44.49916667,https://voluntarifc.ro/,
4116,Zira FK,Azerbaijan,Azerbaijan Premier League,Zira Olympic Sport Complex Stadium,50.29311 40.35892,http://fczire.az/,
4117,Charlotte Independence,United States of America,USL Championship,Sportsplex at Matthews,-80.6992 35.1106,http://www.charlotteindependence.com/,
4118,RANS Nusantara F.C.,Indonesia,Liga Indonesia Premier Division,Krakatau Steel Stadium,106.039656 -5.99609,http://www.cilegonunitedfc.com/,
4119,Dagoretti Santos,Kenya,Kenyan National Super League,Nairobi City Stadium,36.842222 -1.292222,http://dagorettiamani.webs.com/apps/photos/album?albumid=11574046,
4120,FC Fassell,Liberia,Liberian Premier League,Antoinette Tubman Stadium,-10.80411111 6.309,http://www.fcfassell.com,
4121,Bahman Shiraz F.C.,Iran,Azadegan League,Hafezieh Stadium,52.556062 29.623865,http://www.fcbahman.ir//,
4122,Western University FC,Cambodia,Cambodian Premier League,Western Stadium,104.88361111 11.58138889,http://www.westernsportforall.com/public/,
4123,Los Angeles FC,United States of America,Major League Soccer,BMO Stadium,-118.285 34.013,https://www.lafc.com/,http://commons.wikimedia.org/wiki/Special:FilePath/Los%20Angeles%20Football%20Club.svg
4124,Khoneh Be Khoneh F.C.,Iran,Azadegan League,Haft-e Tir Stadium,52.53333333 29.61666667,http://fckhoonehbekhooneh.com/,
4125,Teuta Durrës B,Albania,Albanian Second Division,Niko Dovana Stadium,19.44944444 41.32583333,http://www.kfteuta.com,
4126,Ormideia FC,Cyprus,Cypriot Third Division,Ormideia Community Stadium,33.77891 34.983509,http://www.ormidiafc.com/,
4127,New York City FC,United States of America,Major League Soccer,Yankee Stadium,-73.926392 40.829569,https://www.nycfc.com/,http://commons.wikimedia.org/wiki/Special:FilePath/New%20York%20City%20FC.png
4128,New York Cosmos,United States of America,National Independent Soccer Association,Maimonides Park,-73.984166666 40.574444444,http://www.nycosmos.com,
4129,Atletico de San Luis,Mexico,Liga MX,Estadio Alfonso Lastras,-100.950864 22.138706,https://atleticodesanluis.mx/,
4130,Lynx F.C.,United Kingdom,Gibraltar National League,Victoria Stadium,-5.350342 36.149356,http://www.lynxfc.com/,
4131,FC Obolon-Brovar Kyiv,Ukraine,Ukrainian First League,Obolon Arena,30.5075 50.527055555,http://fcbrovar.obolon.ua/,
4132,Jong PSV,Netherlands,Eerste Divisie,De Herdgang,5.4389 51.4608,http://www.psvjeugd.nl,
4133,Ishavsbyen FK,Norway,Norwegian Third Division,Tromsdalen Stadion,19.018053 69.645964,http://ishavsbyen.net/Joomla/,
4134,Universitario Popayán,Colombia,Categoría Primera B,Estadio Ciro López,-76.5917 2.45444,http://www.universitariopopayan.com.co/,http://commons.wikimedia.org/wiki/Special:FilePath/Universitario%20de%20Popay%C3%A1n.png
4135,FC Tambov,Russia,Russian Premier League,Mordovia Arena,45.2014 54.1828,http://fc-tambov.ru,
4136,ŠD NŠ Mura 05,Slovenia,Slovenian PrvaLiga,Fazanerija City Stadium,16.1575 46.668611,https://www.nsmura.si/,
4137,FC Tosno,Russia,Leningrad Oblast football championship,Petrovsky Stadium,30.286389 59.951944,http://fctosno.ru/,
4138,Vendsyssel FF,Denmark,Danish 1st Division,Hjørring Stadium,9.9984598 57.4577062,https://www.vendsysselff.dk/,
4139,SSV Ulm 1846,Germany,Fußball-Regionalliga Südwest,Donaustadion,10.009575 48.404589,https://www.ssvulm1846-fussball.de/,http://commons.wikimedia.org/wiki/Special:FilePath/SSV%20Ulm%201846%20Fussball.svg
4140,FK Riteriai,Lithuania,A Lyga,LFF Stadium,25.294444 54.668611,http://fkriteriai.lt/,
4141,Martapura F.C.,Indonesia,Liga Indonesia Premier Division,Demang Lehman Stadium,114.876777777 -3.436583333,http://www.martapurafc.com/,
4142,KR Reykjavik,Iceland,Besta deild karla,KR-völlur,-21.967728 64.145683,http://www.kr.is/knattspyrna/,
4143,Songkhla United F.C.,Thailand,Thai League 2,Tinsulanonda Stadium,100.598611 7.207222,http://www.songkhlaunited.com/,
4144,Digenis Oroklinis,Cyprus,Cypriot Third Division,Dasaki Stadium,33.765 35.033889,http://www.digenisvc.com,
4145,Himalayan Sherpa Club,Nepal,Martyr's Memorial A-Division League,Dasarath Rangasala Stadium,85.314835 27.695052,http://www.himalayansherpaclub.com/,
4146,OKC Energy FC,United States of America,USL Championship,Taft Stadium,-97.5669 35.4958,http://www.energyfc.com/,
4147,FC Krasnodar-2,Russia,Russian Second League,Krasnodar Academy Stadium,39.035566 45.043395,http://fckrasnodar.ru/teams/team2/,
4148,Preah Khan Reach Svay Rieng F.C.,Cambodia,Cambodian Premier League,Svay Rieng Stadium,105.802856 11.082328,http://svayriengfc.com,
4149,Football Inter Club Association,Haiti,Ligue Haïtienne,Parc St. Victor,-72.2075 19.753611,http://hfica.com/,
4150,Ulsan Hyundai Mipo Dockyard Dolphin FC,South Korea,Korea National League,Ulsan Stadium,129.34802 35.562396,http://www.dolphinfc.com/,
4151,Adelaide United FC,Australia,A-League Women,Marden Sports Complex,138.633 -34.8908,http://www.adelaideunited.com.au/,
4152,Brisbane Roar FC W-League,Australia,A-League Women,A.J. Kelly Park,153.094444 -27.229167,https://www.brisbaneroar.com.au,
4153,Melbourne Victory FC W-League,Australia,A-League Women,Lakeside Stadium,144.965 -37.84027778,http://www.melbournevictory.com.au,http://commons.wikimedia.org/wiki/Special:FilePath/MVFC%20W-League%20Logo.jpg
4154,Europa FC,United Kingdom,Gibraltar National League,Victoria Stadium,-5.350342 36.149356,http://www.europafc.gi/,
4155,FC Chernomorets 1919 Burgas,Bulgaria,Bulgarian V AFG,Chernomorets Stadium,27.453056 42.490278,http://www.chernomoretz1919.com/,
4156,Anagennisi Lythrodonta,Cyprus,STOK Elite Division,Anagennisi Lythrodonta Ground,33.305277777 34.950555555,http://www.anagennhsh.com/,
4157,Tasman United,New Zealand,New Zealand Football Championship,Trafalgar Park,173.283056 -41.266944,http://www.tasmanunited.nz/,
4158,SAMB F.C.,Malaysia,Malaysia FAM League,Hang Tuah Stadium,102.245369444 2.202741666,http://footplr.com/team/member/38961,
4159,PKNP F.C.,Malaysia,Malaysia FAM League,Perak Stadium,101.103439 4.609433,http://www.pknpfc.com.my,
4160,AFC Lancaster Lions,United States of America,American Soccer League,Ephrata High School,-76.191 40.18,http://afclancasterlions.com/,
4161,Kingston Stockade Football Club,United States of America,National Premier Soccer League,Dietz Stadium,-74.02758611 41.9346,http://www.stockadefc.com/,
4162,San Antonio FC,United States of America,USL Championship,Toyota Field,-98.394617 29.538908,https://www.sanantoniofc.com/,
4163,Tormenta FC,United States of America,USL League One,Eagle Field,-81.7796 32.4098,http://www.tormentafc.com,
4164,PFC Neftochimic Burgas,Bulgaria,First Professional Football League,Lazur Stadium,27.470278 42.5125,http://neftochimic.com/,
4165,Orsomarso S.C.,Colombia,Categoría Primera B,Estadio Francisco Rivera Escobar,-76.30638889 3.52638889,https://www.orsomarsosc.com.co,
4166,Shenzhen Renren F.C.,People's Republic of China,China League Two,Bao'an Stadium,113.876292 22.560988,http://www.renren-fc.com/a/shouye/,
4167,Omonoia AC Volleyball,Cyprus,Cyprus Volleyball Division 1,Eleftheria Indoor Hall,33.31207349 35.14726179,http://www.omonoia.com.cy/,
4168,ZED FC,Egypt,Egyptian Second Division,Cairo International Stadium,31.312333 30.069111,http://www.fcmasr.com/,
4169,Al-Arabi FC,Qatar,QATAR STARS LEAGUE,Grand Hamad Stadium,51.520509 25.258708,http://alarabi.qa,
4170,San Diego Zest FC,United States of America,USL League Two,RIMAC Arena,-117.239 32.8853,https://www.sandiegozestfc.us/,
4171,Albion SC San Diego,United States of America,National Premier Soccer League,Mission Bay High School,-117.223 32.8,http://albionscpros.com/,
4172,FK Csíkszereda,Romania,Liga II,Stadionul Municipal,25.80291667 46.36694444,http://fkcsikszereda.ro/,
4173,Rivers United F.C.,Nigeria,Nigeria Professional Football League,Yakubu Gowon Stadium,7.02194 4.825,http://www.riversunitedfc.com.ng/,
4174,KF Skënderbeu Korçë B,Albania,Albanian Third Division,Skënderbeu Stadium,20.782778 40.625833,http://www.kfskenderbeu.al,
4175,CD El Ejido 2012,Spain,Segunda División B,Estadio Municipal Santo Domingo,-2.800494 36.764189,http://www.clubdeportivoelejido.com/,
4176,FK Panevėžys,Lithuania,A Lyga,Aukštaitija Stadium,24.359444 55.739167,http://fk-panevezys.lt/,
4177,Jong FC Utrecht,Netherlands,Eerste Divisie,Sportcomplex Zoudenbalch,5.146111 52.075833,http://www.fcutrecht.nl/,
4178,KS Cracovia,Poland,Ekstraklasa,Marshal Józef Piłsudski Stadium,19.919722 50.058056,https://cracovia.pl/,
4179,Diyarbekirspor,Turkey,TFF Third League,Diyarbakır Atatürk Stadium,40.221461 37.914261,http://www.diyarbekirspor.com.tr/,
4180,AirAsia F.C.,Malaysia,Malaysia FAM League,Petaling Jaya Stadium,101.593769444 3.098708333,http://www.pjrangersfc.com/,
4181,Cibao FC,Dominican Republic,Primera División de Republica Dominicana,Estadio Cibao FC,-70.79638889 19.44527778,http://www.cibaofc.com/,
4182,San Francisco City FC,United States of America,USL League Two,Negoesco Stadium,-122.454 37.7765,http://sfcityfc.com/,
4183,Dalian Transcendence F.C.,People's Republic of China,China League One,Jinzhou Stadium,121.7191 39.0953,http://transcendfc.com/,
4184,Chengdu Rongcheng F.C.,People's Republic of China,China League Two,Shuangliu Sports Centre,103.894 30.5732,http://www.qbaofc.cn/,
4185,New York Cosmos B,United States of America,National Premier Soccer League,Mitchel Athletic Complex,-73.597222222 40.724,http://www.nycosmos.com/,
4186,Dayton Dutch Lions WFC,United States of America,Women's Premier Soccer League,Dayton Outpatient Center Stadium,-84.2307 39.6705,http://ddlfc.com/,
4187,Youngstown Nighthawks,United States of America,Premier Arena Soccer League,Covelli Centre,-80.6468 41.0977,http://www.youngstownnighthawks.com/,
4188,Khon Kaen United F.C.,Thailand,Thai League 2,Khon Kaen Stadium,102.82816 16.412716944,http://www.kkutd.com,
4189,CSM Deva,Romania,Liga III,Stadionul Cetate,22.901389 45.889722,http://www.cnscetatedeva.ro,
4190,Young Fighters F.C.,Malaysia,Malaysia FAM League,UKM Bangi Stadium,101.785 2.932,http://www.feldaunitedfc.com/players/index.php?team=3,
4191,Kornos FC 2013,Cyprus,STOK Elite Division,Kornos Community Stadium,33.404229 34.917327,http://kornosfc2013.blogspot.com.cy/,
4192,Riga FC,Latvia,Latvian Higher League,Skonto Stadium,24.116408 56.961372,https://rigafc.lv/,
4193,Miami FC,United States of America,USL Championship,Riccardo Silva Stadium,-80.377778 25.7525,https://www.miamifc.com/,
4194,Chula Vista FC,United States of America,SoCal Premier League,Eastlake High School,-116.968 32.6406,http://www.chulavistafc.com/,
4195,FC Juárez,Mexico,Liga MX,Estadio Olímpico Benito Juárez,-106.467814 31.75305,http://www.fcjuarez.com/,
4196,Union Titus Pétange,Luxembourg,Luxembourg National Division,"Stade Municipal, Pétange",5.856486111 49.557211111,https://www.uniontituspetange.lu/home,
4197,FC Kolos Kovalivka,Ukraine,Premier League,Kolos Stadium,30.008333333 49.985833333,https://koloskovalivka.com/,http://commons.wikimedia.org/wiki/Special:FilePath/FCKolos2018.svg
4198,Al-Feiha FC,Saudi Arabia,First Division League,Prince Salman Bin Abdulaziz Sport City Stadium,45.368021 25.886929,http://www.alfiha.com/,
4199,Sanat Naft Novin Abadan F.C.,Iran,Iran Football's 2nd Division,Takhti Stadium,48.292222 30.339444,http://www.sanatenaft.com/,
4200,Sepsi OSK Sfântu Gheorghe,Romania,Romanian SuperLiga,Stadionul Municipal,25.77613889 45.86291667,https://sepsiosk.ro/,
4201,Ankaragücü Sports Club,Turkey,TFF Second League,Ankara 19 Mayıs Stadium,32.845681 39.940094,http://ankaragucu.org.tr/,
4202,Kraze United,United States of America,National Premier Soccer League,UCF Soccer and Track Stadium,-81.1952 28.60765,http://krazeunited.com/,
4203,Salisbury F.C.,England,Southern Football League,Raymond McEnhill Stadium,-1.785758 51.104339,http://www.salisburyfc.co.uk/,
4204,PFC Litex Lovech II,Bulgaria,Bulgarian B Professional Football Group,Lovech Stadium,24.724861 43.142639,http://pfclitex.com/,
4205,PFC Ludogorets Razgrad II,Bulgaria,Bulgarian B Professional Football Group,Ludogorets Arena,26.5275 43.53361111,http://www.ludogorets.com/all_news.php,
4206,Rio Grande Valley FC Toros,United States of America,USL Championship,RGVFC Stadium,-98.1352 26.2826,http://www.rgvfc.com/,
4207,FC Nizhny Novgorod,Russia,Russian Premier League,Nizhny Novgorod Stadium,43.963333333 56.3375,http://fcnn.ru/main/,
4208,Cape Town All Stars F.C.,South Africa,National First Division,Athlone Stadium,18.516667 -33.961944,http://www.ctallstars.co.za,
4209,FC Cincinnati,United States of America,Major League Soccer,TQL Stadium,-84.522222222 39.111388888,https://www.fccincinnati.com/,http://commons.wikimedia.org/wiki/Special:FilePath/FC%20Cincinnati%202018%20primary%20wordmark%20orange-blue.svg
4210,FC Cincinnati,United States of America,Major League Soccer,TQL Stadium,-84.522222222 39.111388888,https://www.fccincinnati.com/,http://commons.wikimedia.org/wiki/Special:FilePath/FC%20Cincinnati%202018%20primary%20wordmark%20orange-white.svg
4211,FC Balkany Zorya,Ukraine,Ukrainian Second League,Borys Tropanets Stadium,29.694 46.001083,http://fcbalkans.com.ua/,http://commons.wikimedia.org/wiki/Special:FilePath/FCBalkany2018.svg
4212,Công An Hà Nội FC,Vietnam,V.League 2,Hàng Đẫy Stadium,105.833056 21.029722,http://www.vnleague.com/doi-bong/36-Cong-An-Nhan-Dan.html,
4213,FK Podgorica,Montenegro,Montenegrin Second League,Stari Ribnjak Stadium,19.217361111 42.41175,https://www.fkpodgorica.me/,
4214,Dibba Club,United Arab Emirates,UAE Pro League,Fujairah Club Stadium,56.343480555 25.130122222,http://www.dibbaclub.ae/index.php,
4215,CD Mirandés B,Spain,Tercera División,Estadio Municipal de Anduva,-2.935556 42.680833,http://www.cdmirandes.com/,
4216,Royal Eagles F.C.,South Africa,National First Division,King Zwelithini Stadium,30.9 -29.971389,http://royaleaglesfootballclub.co.za,
4217,Kara Shiraz F.C.,Iran,Iran Football's 2nd Division,Hafezieh Stadium,52.556062 29.623865,http://www.kara.co/fc/,
4218,Royal Blues F.C.,Taiwan,Taiwan Football Premier League,Taipei Municipal Stadium,121.551111 25.049444,http://royalbluestaipei.com,
4219,Reno 1868 FC,United States of America,USL Championship,Greater Nevada Field,-119.808633 39.528131,https://www.reno1868fc.com/,
4220,Wellington Phoenix FC Reserves,New Zealand,New Zealand Football Championship,Newtown Park,174.7825 -41.320278,http://www.wellingtonphoenix.com/,
4221,Europa Point F.C.,United Kingdom,Gibraltar National League,Victoria Stadium,-5.350342 36.149356,http://www.europapointfc.com/,http://commons.wikimedia.org/wiki/Special:FilePath/Europa%20point%20fc%20logo.png
4222,Sport Rosario,Peru,Peruvian Primera División,Estadio Rosas Pampa,-77.53361111 -9.52658333,http://clubsportrosario.com/,
4223,Melbourne City FC Youth,Australia,A-League Youth,John Ilhan Memorial Reserve,144.916111 -37.665278,http://www.melbournecityfc.com.au/,
4224,Melbourne Victory FC Youth,Australia,A-League Youth,Epping Stadium,145.024722 -37.625,http://www.melbournevictory.com.au,
4225,Western Sydney Wanderers FC Youth,Australia,A-League Youth,Blacktown Baseball Stadium,150.855278 -33.770556,http://www.wswanderersfc.com.au/,
4226,Hereford F.C.,England,Southern Football League,Edgar Street,-2.717711 52.060719,http://www.herefordfc.co.uk/,
4227,Agudat Sport Nordia Jerusalem F.C.,Israel,Liga Alef,Hebrew University Stadium,35.2 31.775833,http://betarnordia.co.il/,
4228,Burlingame Dragons FC,United States of America,USL League Two,Burlingame High School,-122.347 37.5826,http://www.burlingamedragons.com/,
4229,FC Miami City,United States of America,USL League Two,Tropical Park Stadium,-80.323036 25.730064,http://www.fcmiamicity.com,
4230,FC Stumbras,Lithuania,A Lyga,Darius and Girėnas Stadium,23.936944 54.897222,http://www.fcstumbras.lt,
4231,Casa de Portugal em Macau,People's Republic of China,2ª Divisão de Macau,Estádio Campo Desportivo,113.553266 22.154523,http://www.casadeportugal.org,
4232,Q19157432,Greece,Greek A Division,Kleanthis Vikelidis Stadium,22.9695 40.600069,http://ariswomenfootball.blogspot.com.cy/,
4233,Ain Sud,France,Championnat National 3,Stade du Forum,4.9875 45.8279,https://ainsud.com,
4234,Boca Juniors F.C.,United Kingdom,Gibraltar National League,Victoria Stadium,-5.350342 36.149356,http://fcboca.gi/,
4235,F.C. Hound Dogs,United Kingdom,Gibraltar Third Division,Victoria Stadium,-5.350342 36.149356,http://fchounddogs.com,
4236,Mons Calpe S.C.,United Kingdom,Gibraltar National League,Victoria Stadium,-5.350342 36.149356,http://www.monscalpesc.com/,
